S.No,Store Code,Outlet Name,City,States
1,FE145,Style Corner,Agartala,Tripura
2,FE162,Shivam -1,Agartala,Tripura
3,FE169,New Bina ,Agartala,Tripura
4,FN104,Gargi - Gandhinagar,Ahmedabad,Gujrat
5,FN200,Krishna ,Ahmedabad,Gujrat
6,FN225,Smruti Selection ,Ahmedabad,Gujrat
7,FN226,Mahalaxmi ,Ahmedabad,Gujrat
8,FN266,Lalit Beauty Collection,Ahmedabad,Gujrat
9,FN288,Lifestyle - Ahmedabad,Ahmedabad,Gujrat
10,FN290,Rajani Fashion - Ahmedabad,Ahmedabad,Gujrat
11,FN313,Mayur Beauty- Ahmedabad,Ahmedabad,Gujrat
12,FW 133,Shoppers Stop - Panchvati,Ahmedabad,Gujrat
13,FW 148,A TO Z,Ahmedabad,Gujrat
14,FW 149,Manhar C/O Swami Beauty ,Ahmedabad,Gujrat
15,FW 63,Mahavir Cosmetics ,Ahmednagar,Maharashtra
16,FC 76,Big Bazaar,Allahabad,Uttar Pradesh
17,FN316,Chaman Store,Ambala,Haryana
18,FW 84,Kesar Creation ,Amravati,Maharashtra
19,FN133,Nari ,Amritsar,Punjab
20,FN273,Lifestyle - Trillium Mall,Amritsar,Punjab
21,FE183,Big Bazaar - Galaxy Mall,Asansol ,West Bengal
22,FE226,Ms Merit Queen ,Asansol ,West Bengal
23,FW 75,Nawal Beauty ,Aurangabad,Maharashtra
24,FW 76,Nawal Cidco ,Aurangabad,Maharashtra
25,FW 78,Durga Emporium ,Aurangabad,Maharashtra
26,FW 124,Glamour,Aurangabad,Maharashtra
27,FS50,Health & Glow - Jai Nagar,Bangalore,Karnataka
28,FS74,Shringar,Bangalore,Karnataka
29,FS95,Wahid Collection,Bangalore,Karnataka
30,FS111,Health & Glow - Bel Road,Bangalore,Karnataka
31,FS126,Kanika Sales,Bangalore,Karnataka
32,FS127,Shtri Sales,Bangalore,Karnataka
33,FS170,Rajguru ,Bangalore,Karnataka
34,FS184,Kumar Sales ,Bangalore,Karnataka
35,FS190,Monisha ,Bangalore,Karnataka
36,FS211,Health & Glow - Commercial Street,Bangalore,Karnataka
37,FS213,Lifestyle - Oasis,Bangalore,Karnataka
38,FS214,Lifestyle - Adarsh,Bangalore,Karnataka
39,FS215,Lifestyle - Gopalan,Bangalore,Karnataka
40,FS217,Shoppers Stop - BG Road,Bangalore,Karnataka
41,FC 56,V.P.Beauty Zone ,Bareily,Uttar Pradesh
42,FN271,The Shoppe-Baroda,Baroda,Gujrat
43,FN272,Shoppers Stop - Baroda,Baroda,Gujrat
44,FN285,She-Baroda,Baroda,Gujrat
45,FN252,Friends Company ,Bhatinda,Punjab
46,FN234,Gulati ,Bhogpur,Punjab
47,FC 32,Silver Cosmetic (New Era),Bhopal,Madhya Pradesh
48,FC 82,Meeras 1,Bhopal,Madhya Pradesh
49,FC 90,Meeras 2,Bhopal,Madhya Pradesh
50,FC 99,Lakme Beauty,Bhopal,Madhya Pradesh
51,FE175,Big Bazaar - Kharvel Nagar,Bhubaneshwar,Orissa
52,FN93,Catwalk ,Chandigarh,Chandigarh
53,FN94,Chandigarh General Store,Chandigarh,Chandigarh
54,FN103,Bittu Fashion ,Chandigarh,Chandigarh
55,FN113,S.R.Enterprises ,Chandigarh,Chandigarh
56,FN145,Fancy Churi ,Chandigarh,Chandigarh
57,FN168,Onkar ,Chandigarh,Chandigarh
58,FN169,Gyan Chand ,Chandigarh,Chandigarh
59,FN170,Sethi Cosmetics ,Chandigarh,Chandigarh
60,FN201,Bittu Bangle,Chandigarh,Chandigarh
61,FN222,Kohinoor ,Chandigarh,Chandigarh
62,FN262,Trend & Tradition,Chandigarh,Chandigarh
63,FN185,Hari Collection,Chandigarh,Chandigarh
64,FN295,Lifestyle - Elante Mall,Chandigarh,Chandigarh
65,FN299,Parkash,Chandigarh,Chandigarh
66,FS18,Monica ,Chennai ,Tamilnadu
67,FS20,Saravana Store ,Chennai ,Tamilnadu
68,FS23,Pothys,Chennai ,Tamilnadu
69,FS45,Health & Glow - Adyar,Chennai ,Tamilnadu
70,FS55,Health & Glow - Kilpauk,Chennai ,Tamilnadu
71,FS89,Health & Glow - Ampa Mall,Chennai ,Tamilnadu
72,FS91,Health & Glow - Besant Nagar,Chennai ,Tamilnadu
73,FS103,Angels - Annanagar,Chennai ,Tamilnadu
74,FS116,Style One,Chennai ,Tamilnadu
75,FS134,Pothys Boutique,Chennai ,Tamilnadu
76,FS189,Health & Glow - Vijaya Mall,Chennai ,Tamilnadu
77,FS191,Kajal Cosmetics ,Chennai ,Tamilnadu
78,FS193,Pavan Beauty Palace,Chennai ,Tamilnadu
79,FS200,Angels Beauty - Egmore,Chennai ,Tamilnadu
80,FS207,Health & Glow - Shanti Nagar,Chennai ,Tamilnadu
81,FS209,Lifestyle - City Centre,Chennai ,Tamilnadu
82,FS210,Shoppers Stop - Velachery,Chennai ,Tamilnadu
83,FS216,Health & Glow - Pondy Bazar,Chennai ,Tamilnadu
84,FS105,Angels Velechary,Chennai ,Tamilnadu
85,FS233,Super Sarvana - Crompet,Chennai ,Tamilnadu
86,FS238,Treasure Hunt,Chennai ,Tamilnadu
87,FS241,Style One - Pondy bazar,Chennai ,Tamilnadu
88,FS245,Saravana Store - B,Chennai ,Tamilnadu
89,FS87,Kallarackal,Cochin,Kerala
90,FS90,Goodwill,Cochin,Kerala
91,FS137,Fair Beauty,Cochin,Kerala
92,FS158,Alphonsa ,Cochin,Kerala
93,FS180,Lulu Hyper Market ,Cochin,Kerala
94,FS239,Mirror,Cochin,Kerala
95,FS240,Jajis Cosmetics,Cochin,Kerala
96,FS24,Good Luck Palace,Coimbatore,Tamilnadu
97,FS25,Nilgiris SNV ,Coimbatore,Tamilnadu
98,FS27,Beauty Selection ,Coimbatore,Tamilnadu
99,FS101,Kantilal,Coimbatore,Tamilnadu
100,FS102,Pothys,Coimbatore,Tamilnadu
101,FS234,Kovai Beauty,Coimbatore,Tamilnadu
102,FS243,Good Luck Palace -II,Coimbatore,Tamilnadu
103,FE22,Singar ,Darjeeling,West Bengal
104,FE106,Atmaram ,Darjeeling,West Bengal
105,FE231,Standard Plating Coomapny,Darjeeling,West Bengal
106,FE240,K C Jani,Darjeeling,West Bengal
107,FN235,Kale Di Hatti ,Dasuha,Punjab
108,FC 75,Lifestyle - Pacific Mall,Dehradun,Uttarakhand
109,FN311,Kumar Sparkles,Dehradun,Uttarakhand
110,FN314,Fresh n Easy,Dehradun,Uttarakhand
111,FN304,In & Out,Dharamshala,Himachal Pradesh
112,FE46,Jessica,Dimapur,Nagaland
113,FE232,Pick Me,Duliajan,Assam
114,FE188,Big Bazaar - City Center,Durgapur,West Bengal
115,FN58,Tip Top ,Faridabad,Haryana
116,FN96,Shagun ,Gandhidham,Gujrat
117,FE246,Jesal Cosmetic,Gangtok,Sikkim
118,FE235,Kiran & Co.,Gangtok,Sikkim
119,FC 33,Big Bazaar - EDM Mall,Ghaziabad,Uttar Pradesh
120,FC 37,Shakti Stores ,Ghaziabad,Uttar Pradesh
121,FC 38,Jagdish Sons ,Ghaziabad,Uttar Pradesh
122,FC 44,Woman's World ,Ghaziabad,Uttar Pradesh
123,FC 89,Shoppers Stop - Gaur Central,Ghaziabad,Uttar Pradesh
124,FN315,Shoppers Stop - Gaur Central,Ghaziabad,Uttar Pradesh
125,FC 84,Red Apple,Greater Noida,Uttar Pradesh
126,FN11,Shubham ,Gurgaon,Haryana
127,FN29,Tarun Store,Gurgaon,Haryana
128,FN108,Needs Hyper,Gurgaon,Haryana
129,FN307,Big Bazaar - Ambience Mall,Gurgaon,Haryana
130,FN279,Singar Vatika,Gurgaon,Haryana
131,FN286,Lifestyle - Metropolis Mall,Gurgaon,Haryana
132,FE120,Payal ,Guwahati,Assam
133,FE121,Shrimaan Shrimati ,Guwahati,Assam
134,FE147,Nath Bros,Guwahati,Assam
135,FE152,Big Bazaar - City Square,Guwahati,Assam
136,FE193,Hub,Guwahati,Assam
137,FE194,Beauty Zone,Guwahati,Assam
138,FE230,Shoum Emporium,Guwahati,Assam
139,FE247,Urvashi Fashion Lifestyle,Guwahati,Assam
140,FE249,Daffodile,Guwahati,Assam
141,FE250,Upahar,Guwahati,Assam
142,FE253,Ritwika,Guwahati,Assam
143,FC 98,Mon Medice Accessories,Gwalior,Madhya Pradesh
144,FE78,Ganesh Store ,Habra,West Bengal
145,FS117,Krishna Bangles,Hassan,Karnataka
146,FN137,Bombay General Store ,Hoshiarpur,Punjab
147,FN284,Sanjeev General Store,Hoshiarpur,Punjab
148,FS173,U Mall ,Hubli,Karnataka
149,FS02,Kathiwar Store (Abids),Hyderabad,Andhra Pradesh
150,FS03,Kathiwar Store,Hyderabad,Andhra Pradesh
151,FS04,Big Bazaar - Maheshwari Mall,Hyderabad,Andhra Pradesh
152,FS05,South India Shopping Mall,Hyderabad,Andhra Pradesh
153,FS97,G.S.Wasan,Hyderabad,Andhra Pradesh
154,FS130,New South India Mall ,Hyderabad,Andhra Pradesh
155,FS141,Big Bazaar - Ameerpet,Hyderabad,Andhra Pradesh
156,FS192,Sona Ladies,Hyderabad,Andhra Pradesh
157,FS202,Lifestyle - Begumpet,Hyderabad,Andhra Pradesh
158,FS203,Maheswari Jewelry Abids,Hyderabad,Andhra Pradesh
159,FS205,Shoppers Stop - (Manjeera Mall KPHB),Hyderabad,Andhra Pradesh
160,FS232,Hyderabad Beauty ,Hyderabad,Andhra Pradesh
